iso3,country_name,kappa_fleiss,simple_agreement,models_reporting
ALB,Albania,-0.2500000000000007,0.8,5
ARE,United Arab Emirates,-0.2500000000000007,0.8,5
ALA,Åland Islands,-0.2500000000000007,0.8,5
ARG,Argentina,-0.2500000000000007,0.8,5
BHR,Bahrain,-0.2500000000000007,0.8,5
BIH,Bosnia and Herzegovina,-0.2500000000000007,0.8,5
BGD,Bangladesh,-0.2500000000000007,0.8,5
AZE,Azerbaijan,-0.2500000000000007,0.8,5
BOL,"Bolivia, Plurinational State of",-0.2500000000000007,0.8,5
BLZ,Belize,-0.2500000000000007,0.8,5
COD,"Congo, The Democratic Republic of the",-0.2500000000000007,0.8,5
CAF,Central African Republic,-0.2500000000000007,0.8,5
BWA,Botswana,-0.2500000000000007,0.8,5
BTN,Bhutan,-0.2500000000000007,0.8,5
BRB,Barbados,-0.2500000000000007,0.8,5
